总 计,34850.47,8.1,28999.96,8.1,1726.95,9.3
在总计中:1.国有企业,1861.69,4.2,1151.14,8.6,79.92,-26.8
2.集体企业,102.53,-11.2,92.13,-10.6,3.03,-15.4
3.股份合作制企业,12.61,-6.6,10.67,-2.5,1.16,-7.9
4.股份制企业,28941.59,9.3,24433.43,9.0,1427.3,13.7
5.外商及港澳台投资企业,2911.59,4.5,2460.1,5.7,158.37,1.0
6.其它企业,1020.46,-4.3,852.5,-5.4,57.17,4.1
在总计中:亏损企业,2459.67,-9.7,2398.05,-4.4,-174.84,
在总计中:国有控股企业,7694.62,6.9,6007.03,7.9,396.15,10.1
其中:亏损企业,1474.29,-8.6,1478.52,-1.8,-99.49,
其中:中央企业,1030.18,4.3,1052.95,12.5,-20.13,
在总计中:大中型工业,17260.65,7.8,13874.31,7.9,958.73,8.5
其中：国有控股企业,6817.14,6.0,5275.49,7.2,343.46,3.5
其中：亏损企业,1377.19,-8.6,1388.28,-1.6,-86.32,
